1,50239265265907;
5,68336526288889;
8,04613662927368;
7,045724743429;
6,91460493112656;
3,07264567719093;
3,36209266398953;
3,48578085992595;
3,26327399528423;
2,9606173239941;
2,25780644091663;
0,823908543797047;
-0,0166443953304643;
0,15243924864486;
-0,0842337489811901;
-0,567504759253791;
-0,23155737952668;
0,187636068718284;
0,0213057105752703;
-0,0784049426495922;
-0,795602711552981;
-2,62554591797489;
-3,12523233460691;
-2,07161457578547;
-1,86618001221666;
-2,41671789049825;
-2,8368619545682;
-2,7010418664358;
-2,13607983222533;
-1,99598959052306;
-1,21529909873012;
0,92075329486535;
1,98699451550889;
1,32828526084196;
1,026808645033;
1,27162899056332;
1,29847154915208;
1,35154063980357;
1,39577114305137;
1,23461477989265;
-4,59215517418533;
-18,4558462276488;
-24,1774398691783;
-16,2790450374043;
-10,52715865598;
-12,9971359783217;
-19,6424257688326;
-22,0608318325254;
-16,5271758965398;
-11,209884176598;
-7,51717681303101;
-1,59656995950578;
2,35349230820205;
2,5117186554;
2,98096750092814;
2,94826844887392;
0,53943992201695;
-0,781866518507938;
0,0578169007114489;
0,266037936338366;
1,03432412686537;
3,87623858932218;
5,13623612975871;
4,00201193414941;
3,81435641623535;
4,50852097993965;
4,53308994133569;
4,20728005106466;
4,0656039534865;
4,13249125251001;
3,18209452951199;
0,572233154194306;
-0,789793361537916;
0,0353970729654101;
0,280476840852376;
2,07086197826262;
7,33455183484205;
9,29987970460462;
6,23845709919478;
4,59087434234541;
3,61960216588489;
0,521505298472153;
-0,92576802645117;
0,110653041579822;
0,297244236735213;
0,521884518762221;
2,21729412609519;
2,80736550298093;
1,83113195426644;
1,53283722013116;
1,3210620607104;
0,193159050339212;
-0,34140466490438;
0,0412284789182549;
0,109326996473642;
0,156301431506417;
0,708136289849825;
0,946158289580594;
0,732134812925223;
0,722256292293601;
0,595092702086476;
0,0731391075004409;
-0,149626276138175;
0,0220191472824814;
0,0462825516538489;
0,231162470270844;
0,874892065309825;
1,16882405325387;
0,901485572193065;
0,789738077990799;
0,642708872939001;
0,103704545911767;
-0,16371042383042;
0,0145763231970663;
0,0547986127086556;
0,210577137088522;
0,775792433353787;
0,942166197919941;
0,587197104817639;
0,547012859966649;
0,798771481165559;
0,911878419778707;
0,950440299390068;
1,0231140875299;
1,00361523942382;
0,650778193690466;
0,0705946015696437;
-0,148281228487305;
0,0191810316275335;
0,0474967519971057;
-0,0271595373829518;
-0,00543576830846054;
0,0119193509878548;
